,east_comp,north_comp,verti_comp,Time
397,-0.019623164,0.000443155,0.004973595,7.94
398,-0.017520491,0.000182378,0.007352754,7.96
399,-0.008216817,6.6e-05,0.005383464,7.98
400,0.002439588,0.001400347,-0.000485509,8
401,0.009128608,-0.001022839,-0.005561925,8.02
402,0.010354624,-0.004000994,-0.00322252,8.04
403,0.005697541,-0.00354553,-0.008589243,8.06
404,-0.005269638,0.001706978,-0.011806906,8.08
405,0.001060806,0.004160665,-0.008530486,8.1
406,0.007380603,0.005909751,-0.006119144,8.12
407,0.010053614,0.006079008,-0.007423281,8.14
408,0.00640225,0.003615718,-0.00558333,8.16
409,0.006632291,0.006153556,0.001792747,8.18
410,0.002939948,0.008668251,0.010316476,8.2
411,-0.008657346,0.001182327,0.009702544,8.22
412,-0.010815301,-0.00121542,0.010491786,8.24
413,-0.005695559,0.007521077,0.002916774,8.26
414,0.004620942,0.008053502,0.001740374,8.28
415,0.011423113,0.002812861,-0.002696571,8.3
416,0.001499277,-0.001201111,-0.010972896,8.32
417,-0.002978274,-0.007222693,-0.008258363,8.34
418,-0.003927022,-0.01069686,-0.003838188,8.36
419,-0.002513609,-0.011850461,0.002386322,8.38
420,0.002794781,-0.00315057,0.006712372,8.4
421,-0.000922503,0.00144795,0.012309408,8.42
422,-0.010896087,-0.003343576,0.003597507,8.44
423,-0.010104494,-0.00434521,0.000921269,8.46
424,-0.003700106,-0.006076762,-0.000877255,8.48
425,0.003456364,-0.005093676,-0.007198253,8.5
426,-0.000182397,0.003837713,-0.01112639,8.52
427,-0.004048182,0.011370506,-0.002311944,8.54
428,0.001909916,0.008832838,0.006704872,8.56
429,0.006315749,0.00561691,0.001958212,8.58
430,0.006265302,0.000712033,-0.003315988,8.6
431,0.001949079,-0.007246512,0.002380852,8.62
432,-0.000335826,-0.011121197,0.007612287,8.64
433,-0.004220317,-0.005879438,-0.003627349,8.66
434,-0.005314625,0.000882294,-0.000115911,8.68
435,-0.009235283,0.000625612,0.001896574,8.7
436,-0.003570041,0.002022638,0.004426794,8.72
437,-0.003785578,0.008198277,-0.006204197,8.74
438,-0.009176204,0.003029229,-0.014190954,8.76
439,-0.005724434,-0.008901525,-0.001279494,8.78
440,0.001224463,-0.010111677,0.006469919,8.8
441,0.007798913,-0.002954347,0.006064957,8.82
442,0.006543422,0.00325121,0.003514159,8.84
443,-0.002530167,0.006030836,0.004058225,8.86
444,-0.002868028,0.004748347,0.003243348,8.88
445,0.005370052,0.001341352,-0.004159954,8.9
446,0.007309239,-0.003265175,-0.006540614,8.92
447,0.002271432,-0.004680904,-0.002407694,8.94
448,0.00193243,0.002479537,-0.002048801,8.96
449,0.004924906,-0.001158853,-0.000767655,8.98
450,0.007145543,-0.007277471,0.003625099,9
451,-0.001882686,-0.013529916,0.007104337,9.02
452,-0.010062456,-0.012359328,0.004281442,9.04
453,-0.008805215,0.004288846,0.001735173,9.06
454,-0.009697791,0.014312242,-0.0021689,9.08
455,-0.004445545,0.009178123,-0.000918134,9.1
456,-0.003005713,-0.00072115,-0.005089414,9.12
457,-0.005042429,-0.004157318,0.001608567,9.14
458,0.00052385,-0.007563122,0.004288737,9.16
459,0.002901903,-0.007264732,0.003457896,9.18
460,0.001877026,-0.00496057,-0.000209127,9.2
461,0.001667079,0.003907044,-0.002960824,9.22
462,0.00129359,0.009156758,-3.83e-05,9.24
463,-0.0027381,0.00888771,0.003196581,9.26
464,-0.007532254,0.004406704,0.007950673,9.28
465,-0.010338527,-0.006466212,0.007843799,9.3
466,-0.005119018,-0.008321457,0.011478092,9.32
467,0.001966558,-0.004000091,0.001410089,9.34
468,0.006736914,0.001343195,-0.00284587,9.36
469,0.007673413,0.00733549,-0.009886549,9.38
470,0.009644446,0.008467047,-0.013370869,9.4
471,0.010508271,0.007687885,-0.00694097,9.42
472,0.00165505,-5.4e-05,0.005755375,9.44
473,-0.008594434,-0.003741486,0.006051272,9.46
474,-0.007247434,1.44e-05,0.001406989,9.48
475,-0.002354296,0.002013264,0.000158054,9.5
476,-0.003259079,0.002433511,-0.00106694,9.52
477,-0.007306211,-0.002224305,-0.002977359,9.54
478,-0.007159497,-0.004894427,0.000482135,9.56
479,-0.002957546,-0.002743329,0.000140477,9.58
480,0.004448267,-0.004626702,-0.002039473,9.6
481,0.010052757,-0.007102111,0.004184086,9.62
482,0.007338361,-0.002566929,-0.000435515,9.64
483,0.00442645,0.007945483,0.004259604,9.66
484,0.001765797,0.009506425,-0.000906203,9.68
485,-0.001110291,0.003637899,0.002584299,9.7
486,-0.004473313,-0.001195441,0.000291551,9.72
487,-0.003543623,-0.004012616,-0.003641546,9.74
488,-0.007513218,-0.002371115,-0.003939024,9.76
489,-0.003218187,0.004184865,-0.0066747,9.78
490,-0.000664485,0.003469172,0.001482039,9.8
491,-0.003766752,0.000115247,0.002826315,9.82
492,0.000626093,-0.00186107,-0.005462465,9.84
493,0.001777912,0.000247807,-0.008254255,9.86
494,-0.003387652,0.00278476,-0.006840408,9.88
495,-4.98e-05,-0.003645812,0.002249773,9.9
496,0.004454304,-0.0003141,0.010245729,9.92
497,0.001753678,0.003390383,0.008715978,9.94
498,0.000127533,-0.004112717,0.003830391,9.96
499,-0.001019272,-0.007638684,0.001495193,9.98
500,-0.001965799,-0.004110386,-0.005727699,10
501,-0.000271072,-0.002763463,-0.00782227,10.02
502,0.006214215,0.000675364,-0.001058363,10.04
503,0.012503054,0.001119991,1.72e-05,10.06
504,0.009069031,0.006149022,-0.004834564,10.08
505,-0.002831366,0.010579824,-0.000775916,10.1
506,-0.004182698,0.009002497,0.002806504,10.12
507,-0.001628647,0.006672833,0.004410686,10.14
508,0.000404897,0.000197001,-0.002001951,10.16
509,0.002327386,-0.001813996,-0.002670946,10.18
510,-0.001304439,0.000372226,0.001267291,10.2
511,-0.010832485,-0.001378181,0.003546479,10.22
512,-0.017833016,-0.00424277,0.002914254,10.24
513,-0.009773958,-0.00836008,-0.001879986,10.26
514,7.81e-05,-0.004353368,0.005339354,10.28
515,0.000439782,0.001999941,0.007394979,10.3
516,0.00173753,0.003539599,0.015137265,10.32
517,0.007768978,0.005039039,0.013159196,10.34
518,0.004661819,0.003811598,0.00453352,10.36
519,0.000496325,-0.001984218,-0.003781119,10.38
520,0.003850426,-0.004672178,-0.006123593,10.4
